epoch  train_CROSS_ENTROPY  test_CROSS_ENTROPY  train_r2  test_r2  train_acc  test_acc  train_auprc  test_auprc  train_auroc  test_auroc

0  0.72392  0.72529  -0.02242  -0.02306  0.52824  0.53200  0.47944  0.49483  0.49167  0.50108
1  0.72137  0.72332  0.05271  0.04962  0.56822  0.57000  0.71724  0.67032  0.73036  0.71745
2  0.70398  0.71023  0.21232  0.18403  0.72064  0.69400  0.79778  0.76105  0.80003  0.77688
3  0.67078  0.67970  0.32957  0.27646  0.73813  0.73000  0.83746  0.80932  0.84159  0.81764
4  0.66492  0.67826  0.35491  0.28124  0.75912  0.73400  0.85673  0.82154  0.85676  0.82408
5  0.62915  0.64156  0.40801  0.32679  0.78311  0.76400  0.87541  0.83762  0.87782  0.84350
6  0.63367  0.64234  0.35898  0.31961  0.75762  0.76600  0.85884  0.83003  0.86278  0.84064
7  0.62269  0.63543  0.48263  0.39513  0.81059  0.80400  0.90129  0.85613  0.90702  0.86590
8  0.62130  0.63414  0.49579  0.40741  0.81459  0.78000  0.90261  0.86181  0.90470  0.86980
9  0.61595  0.62232  0.42418  0.38409  0.78611  0.78800  0.91225  0.88275  0.91420  0.89213
10  0.60604  0.61760  0.58582  0.50734  0.85757  0.83800  0.93339  0.89403  0.93260  0.89621
11  0.60257  0.61740  0.60720  0.51025  0.86307  0.84200  0.93986  0.89383  0.93959  0.89936
12  0.60656  0.61418  0.59434  0.53941  0.85607  0.85800  0.93757  0.90129  0.94049  0.91016
13  0.59244  0.60909  0.63945  0.51869  0.87606  0.83200  0.94923  0.89999  0.94954  0.90579
14  0.59291  0.61158  0.66375  0.53138  0.88006  0.85800  0.95508  0.90380  0.95489  0.90695
15  0.59988  0.61359  0.60785  0.51429  0.86207  0.84400  0.94333  0.89301  0.94272  0.90568
16  0.60125  0.62135  0.59955  0.45029  0.86057  0.81600  0.94155  0.89020  0.94185  0.89326
17  0.59090  0.60865  0.66266  0.52528  0.88656  0.83400  0.95345  0.89906  0.95472  0.91159
18  0.59850  0.61614  0.61494  0.46919  0.85557  0.80400  0.93951  0.88886  0.94295  0.89879
19  0.61183  0.63155  0.55711  0.41407  0.83908  0.79800  0.93874  0.87741  0.93957  0.89109
20  0.57813  0.59508  0.71144  0.57801  0.89955  0.85600  0.96615  0.91616  0.96625  0.92472
21  0.58535  0.60231  0.69956  0.57313  0.89055  0.84400  0.96622  0.91674  0.96700  0.92627
22  0.58132  0.60256  0.72668  0.57384  0.90455  0.85800  0.97075  0.91657  0.97106  0.92411
23  0.58515  0.60225  0.67518  0.53872  0.88956  0.84400  0.95840  0.90634  0.95671  0.91111
24  0.58602  0.60914  0.66972  0.50172  0.88356  0.83200  0.96032  0.90133  0.95930  0.90809
25  0.57282  0.59630  0.74585  0.58475  0.91454  0.87600  0.97265  0.91251  0.97256  0.92027
26  0.57404  0.59653  0.72968  0.58047  0.90005  0.85800  0.97173  0.91761  0.97241  0.92684
27  0.57263  0.60012  0.75667  0.55839  0.90655  0.86600  0.97617  0.91057  0.97630  0.92211
28  0.58188  0.60815  0.73534  0.54738  0.91004  0.83000  0.97453  0.91118  0.97409  0.92505
29  0.56821  0.59517  0.78798  0.59807  0.92754  0.87400  0.98273  0.90920  0.98243  0.93230
30  0.56869  0.59693  0.77668  0.57777  0.92204  0.86400  0.98060  0.91754  0.98057  0.92873
31  0.56394  0.59694  0.78009  0.53634  0.92054  0.84600  0.97939  0.90722  0.97948  0.92161
32  0.56092  0.58795  0.78078  0.59203  0.92204  0.86200  0.98151  0.92169  0.98124  0.93413
33  0.56699  0.59366  0.80363  0.61782  0.93603  0.87200  0.98512  0.91971  0.98493  0.93495
34  0.55607  0.58456  0.82624  0.61998  0.94153  0.88200  0.98743  0.92570  0.98747  0.93847
35  0.55753  0.59098  0.77266  0.53888  0.91904  0.83600  0.98557  0.91624  0.98576  0.93199
36  0.57195  0.60564  0.76792  0.53297  0.91804  0.85600  0.97979  0.90239  0.98009  0.91888
37  0.55824  0.58728  0.77861  0.56918  0.91754  0.86200  0.98296  0.91971  0.98285  0.92812
38  0.55842  0.59030  0.82134  0.60348  0.93753  0.87200  0.98710  0.91610  0.98694  0.93302
39  0.55750  0.59373  0.83308  0.58303  0.94303  0.86400  0.98857  0.91702  0.98877  0.93244
40  0.55445  0.58809  0.81838  0.56892  0.93953  0.85800  0.98700  0.91890  0.98696  0.93013
41  0.56257  0.60417  0.80557  0.50899  0.93503  0.84000  0.98529  0.91824  0.98593  0.92539
42  0.55123  0.58382  0.84995  0.62143  0.95102  0.87400  0.99066  0.91906  0.99047  0.93746
43  0.55240  0.58778  0.85133  0.60393  0.95102  0.87200  0.99088  0.93016  0.99102  0.94046
44  0.55610  0.59089  0.84523  0.59520  0.94703  0.87400  0.99154  0.91957  0.99145  0.93823
45  0.54785  0.58275  0.86611  0.61877  0.95252  0.88000  0.99247  0.92710  0.99249  0.93995
46  0.54686  0.57813  0.85631  0.62916  0.95052  0.89000  0.99128  0.93201  0.99094  0.93763
47  0.54662  0.57937  0.81692  0.57795  0.93703  0.87200  0.98972  0.91949  0.98988  0.93294
48  0.54590  0.58117  0.86798  0.62249  0.95502  0.87200  0.99269  0.92605  0.99269  0.94112
49  0.54699  0.58641  0.87222  0.59884  0.95352  0.87400  0.99288  0.92335  0.99325  0.93721
50  0.55136  0.58570  0.84915  0.60496  0.94603  0.87800  0.99061  0.91968  0.99085  0.93877
51  0.54490  0.58464  0.88459  0.59753  0.96052  0.87600  0.99420  0.92514  0.99395  0.93792
52  0.54513  0.58240  0.87427  0.60710  0.95852  0.87200  0.99261  0.93577  0.99207  0.93974
53  0.54378  0.58508  0.88079  0.58561  0.96002  0.87000  0.99377  0.92445  0.99357  0.93354
54  0.54069  0.58308  0.88639  0.58864  0.96052  0.87000  0.99478  0.92786  0.99494  0.93633
55  0.54087  0.57992  0.87121  0.57427  0.95602  0.86600  0.99401  0.92287  0.99437  0.93418
56  0.53925  0.57883  0.90003  0.61989  0.96502  0.88800  0.99591  0.92661  0.99598  0.94040
57  0.54021  0.57715  0.88471  0.62427  0.95902  0.88200  0.99442  0.92848  0.99424  0.93760
58  0.53736  0.58000  0.90058  0.59313  0.96552  0.87000  0.99624  0.92726  0.99642  0.93685
59  0.53708  0.57872  0.90230  0.60165  0.96802  0.88200  0.99610  0.92185  0.99628  0.93517
60  0.53696  0.58315  0.91259  0.59245  0.96852  0.87200  0.99640  0.92822  0.99643  0.93852
61  0.54039  0.58584  0.90716  0.57472  0.96752  0.86400  0.99649  0.93119  0.99651  0.93550
62  0.54402  0.58714  0.89221  0.58434  0.96752  0.86400  0.99497  0.92210  0.99474  0.93850
63  0.54115  0.59233  0.90651  0.55080  0.96952  0.86400  0.99658  0.92576  0.99674  0.93018
64  0.54600  0.59687  0.87372  0.51876  0.95902  0.84800  0.99331  0.92895  0.99358  0.93599
65  0.54070  0.58884  0.90439  0.56892  0.97001  0.86200  0.99617  0.93268  0.99617  0.93542
66  0.53911  0.58628  0.90667  0.58151  0.96652  0.87200  0.99647  0.93548  0.99652  0.94014
67  0.53679  0.58277  0.91021  0.58140  0.96852  0.86800  0.99676  0.93380  0.99694  0.93529
68  0.53432  0.58115  0.93061  0.60718  0.97801  0.87400  0.99788  0.93633  0.99790  0.94210
69  0.53633  0.58652  0.92345  0.57575  0.97601  0.87200  0.99762  0.93327  0.99770  0.93901
70  0.53284  0.57722  0.91356  0.59156  0.97051  0.88200  0.99704  0.93567  0.99720  0.94003
71  0.53026  0.57880  0.92795  0.57758  0.97601  0.87400  0.99772  0.93669  0.99781  0.94044
72  0.53798  0.58424  0.88565  0.55682  0.95602  0.86600  0.99460  0.92476  0.99495  0.92758
73  0.53416  0.58069  0.92448  0.59792  0.97851  0.87200  0.99760  0.93051  0.99762  0.93636
74  0.53376  0.58545  0.92859  0.56615  0.97751  0.86600  0.99773  0.92730  0.99783  0.93513
75  0.53746  0.58504  0.91931  0.59189  0.97351  0.87800  0.99720  0.93417  0.99730  0.93901
76  0.53217  0.57684  0.92351  0.60668  0.97451  0.88400  0.99779  0.93210  0.99783  0.93853
77  0.54059  0.59000  0.90477  0.55987  0.97101  0.85800  0.99604  0.92806  0.99603  0.93601
78  0.53680  0.58461  0.91903  0.59417  0.97401  0.87000  0.99725  0.93291  0.99730  0.93763
79  0.53129  0.58097  0.93739  0.58899  0.98051  0.87200  0.99814  0.91907  0.99821  0.93214
80  0.53116  0.58115  0.93455  0.59250  0.97801  0.87400  0.99807  0.93164  0.99818  0.93460
81  0.53321  0.58482  0.92708  0.56447  0.97551  0.86400  0.99772  0.92703  0.99788  0.93127
82  0.53059  0.58438  0.93649  0.57927  0.97551  0.87200  0.99819  0.93398  0.99825  0.93869
83  0.53296  0.57830  0.92034  0.60254  0.97451  0.88000  0.99670  0.93221  0.99679  0.93980
84  0.52961  0.57693  0.94395  0.61652  0.98151  0.88000  0.99865  0.93182  0.99873  0.93643
85  0.52794  0.57524  0.94675  0.62041  0.98251  0.88600  0.99874  0.93821  0.99879  0.94210
86  0.53008  0.57358  0.93652  0.62855  0.97951  0.88400  0.99791  0.93690  0.99792  0.94511
87  0.52883  0.57924  0.94027  0.57793  0.97851  0.87600  0.99830  0.93668  0.99839  0.93800
88  0.52720  0.57885  0.95133  0.59278  0.98451  0.88000  0.99891  0.93456  0.99898  0.93741
89  0.52802  0.57592  0.94412  0.60516  0.98001  0.88800  0.99870  0.93157  0.99878  0.93352
90  0.52653  0.57627  0.95157  0.59524  0.98501  0.88600  0.99895  0.93619  0.99901  0.93800
91  0.52678  0.57676  0.95021  0.59433  0.98501  0.87600  0.99892  0.93285  0.99899  0.93667
92  0.52589  0.57577  0.95826  0.59787  0.98601  0.88000  0.99916  0.93168  0.99919  0.93766
93  0.53040  0.58499  0.93617  0.54981  0.97751  0.86600  0.99823  0.92516  0.99836  0.92811
