epoch  train_CROSS_ENTROPY  test_CROSS_ENTROPY  train_r2  test_r2  train_acc  test_acc  train_auprc  test_auprc  train_auroc  test_auroc

0  0.72930  0.75082  0.00804  -0.01174  0.52974  0.53400  0.53119  0.48505  0.54006  0.52188
1  0.73096  0.75373  0.04655  0.01512  0.62169  0.61800  0.65625  0.59782  0.69473  0.69569
2  0.70656  0.72795  0.14768  0.12349  0.65067  0.66200  0.69964  0.65811  0.73031  0.71904
3  0.71129  0.73455  0.14094  0.10071  0.64768  0.64400  0.71189  0.65063  0.73386  0.71449
4  0.68859  0.70926  0.17681  0.14812  0.67166  0.66800  0.73060  0.66041  0.74689  0.72877
5  0.70515  0.72568  0.16214  0.13995  0.66217  0.63800  0.72091  0.67370  0.73958  0.72201
6  0.67971  0.70103  0.13157  0.11294  0.66317  0.66800  0.71557  0.67071  0.72719  0.71173
7  0.68519  0.70767  0.18521  0.14076  0.66067  0.65600  0.76190  0.71347  0.76679  0.74746
8  0.68568  0.70891  0.14883  0.10096  0.66317  0.65600  0.73886  0.69191  0.74823  0.73050
9  0.68847  0.70857  0.20885  0.18544  0.68466  0.67600  0.75532  0.71916  0.76559  0.75783
10  0.67305  0.69443  0.24207  0.20618  0.71864  0.68200  0.78240  0.73111  0.78636  0.76781
11  0.68590  0.70933  0.22120  0.18068  0.69215  0.68600  0.75594  0.69294  0.77629  0.74772
12  0.69033  0.71209  0.09980  0.06343  0.65067  0.62800  0.68503  0.60097  0.71221  0.67182
13  0.69884  0.72192  0.13381  0.09075  0.65017  0.64200  0.73228  0.67349  0.73419  0.72283
14  0.68945  0.71819  0.22006  0.14289  0.68466  0.67400  0.79136  0.74438  0.79410  0.77499
15  0.70568  0.73757  0.11336  0.01024  0.66067  0.62200  0.77713  0.71696  0.77967  0.75578
16  0.70186  0.72343  0.18314  0.15268  0.66967  0.65200  0.75704  0.72670  0.76560  0.76449
17  0.67537  0.70483  0.28651  0.20063  0.72914  0.70800  0.80852  0.74152  0.81294  0.77276
18  0.67067  0.69459  0.24289  0.20382  0.71064  0.71200  0.77858  0.73596  0.78842  0.77000
19  0.65839  0.68106  0.20045  0.16341  0.69265  0.69400  0.80073  0.73736  0.81781  0.76103
20  0.66711  0.69684  0.33374  0.24136  0.76012  0.73000  0.82925  0.76121  0.83615  0.78971
21  0.67779  0.70954  0.27779  0.16600  0.73763  0.68800  0.79813  0.72101  0.81028  0.75903
22  0.67475  0.70063  0.28158  0.22957  0.73313  0.73200  0.81107  0.76073  0.80770  0.77273
23  0.70862  0.73688  0.14018  0.05968  0.65217  0.64600  0.74022  0.67757  0.73521  0.71236
24  0.67229  0.69853  0.20406  0.14305  0.69065  0.70200  0.77249  0.70424  0.76846  0.73454
25  0.69929  0.72857  0.09138  -0.00194  0.65817  0.64400  0.76267  0.70412  0.75770  0.73214
26  0.66186  0.69220  0.29285  0.19322  0.74113  0.71800  0.80565  0.73782  0.81294  0.76444
27  0.66058  0.68932  0.31966  0.23767  0.75012  0.71200  0.82666  0.76046  0.83560  0.78074
28  0.70100  0.72753  0.20150  0.12789  0.68916  0.67400  0.78931  0.72530  0.78568  0.75195
29  0.66348  0.69630  0.35312  0.23198  0.76862  0.70800  0.83733  0.75489  0.84610  0.78784
30  0.65639  0.68872  0.33750  0.22746  0.75512  0.71800  0.82991  0.75749  0.83800  0.77847
31  0.65148  0.68452  0.38551  0.28061  0.77761  0.73800  0.85217  0.80219  0.85969  0.82044
32  0.66967  0.69743  0.31070  0.24137  0.74763  0.72000  0.81911  0.75990  0.82536  0.78812
33  0.66663  0.69086  0.24573  0.21038  0.71314  0.70800  0.79281  0.75313  0.79599  0.78258
34  0.66355  0.68606  0.26436  0.23515  0.72264  0.72000  0.79234  0.75388  0.80367  0.78653
35  0.65315  0.68838  0.35929  0.23104  0.77061  0.73000  0.83634  0.75698  0.84381  0.77868
36  0.67532  0.71014  0.31409  0.17353  0.74063  0.69600  0.85158  0.76924  0.85215  0.79374
37  0.65506  0.69090  0.34653  0.20793  0.76112  0.72200  0.83455  0.74511  0.83778  0.77370
38  0.65849  0.69111  0.29522  0.19179  0.74013  0.72200  0.83143  0.76136  0.83048  0.79392
39  0.70662  0.73272  0.10314  0.02365  0.66567  0.64200  0.77864  0.72206  0.78419  0.76805
40  0.68074  0.71175  0.14366  0.03240  0.68716  0.67600  0.76692  0.68854  0.74352  0.69242
