epoch  train_CROSS_ENTROPY  test_CROSS_ENTROPY  train_r2  test_r2  train_acc  test_acc  train_auprc  test_auprc  train_auroc  test_auroc

0  0.76163  0.76410  -0.12563  -0.13204  0.47176  0.46800  0.40598  0.40344  0.40147  0.39017
1  0.71864  0.72189  0.07015  0.05715  0.61219  0.59200  0.72720  0.66183  0.74558  0.70603
2  0.69674  0.70436  0.22783  0.18386  0.73013  0.70000  0.80539  0.74738  0.79832  0.75691
3  0.71819  0.72440  -0.01306  -0.05723  0.62219  0.62400  0.81341  0.77863  0.79839  0.77495
4  0.64940  0.65384  0.17956  0.15644  0.68216  0.67200  0.82894  0.81165  0.83277  0.82839
5  0.64608  0.65405  0.25383  0.21361  0.71114  0.70400  0.85639  0.82532  0.86537  0.84297
6  0.63040  0.64271  0.45128  0.38930  0.80360  0.78800  0.88221  0.84822  0.88797  0.85856
7  0.63767  0.64451  0.43589  0.39570  0.80210  0.80600  0.89102  0.86278  0.89189  0.86885
8  0.61787  0.62667  0.45871  0.40838  0.80310  0.80200  0.89951  0.87092  0.90299  0.87308
9  0.62704  0.64305  0.50442  0.40668  0.81359  0.77800  0.90799  0.86169  0.91023  0.86789
10  0.61547  0.63179  0.51966  0.40881  0.82459  0.79800  0.91310  0.86221  0.91190  0.86902
11  0.60942  0.62469  0.49362  0.39023  0.81809  0.79800  0.91751  0.86517  0.91732  0.86495
12  0.64692  0.66590  0.41731  0.28457  0.78361  0.73800  0.91941  0.86538  0.92099  0.87154
13  0.60499  0.61710  0.52961  0.44041  0.83708  0.81400  0.92637  0.88395  0.92619  0.88889
14  0.60470  0.62462  0.63718  0.50155  0.88106  0.81800  0.95016  0.90138  0.95089  0.90386
15  0.59073  0.61175  0.62707  0.47038  0.87106  0.82600  0.94628  0.89347  0.94777  0.89993
16  0.60480  0.62487  0.55255  0.40382  0.84208  0.80400  0.92728  0.87700  0.92691  0.88449
17  0.60352  0.62550  0.63546  0.48268  0.87156  0.80200  0.95039  0.90292  0.95052  0.90245
18  0.60543  0.62724  0.62996  0.47189  0.87356  0.82400  0.94928  0.89223  0.94789  0.89184
19  0.58150  0.60466  0.68353  0.51248  0.89555  0.83400  0.96091  0.90059  0.96198  0.91226
20  0.58301  0.60189  0.63601  0.49355  0.87806  0.83600  0.95266  0.90367  0.95318  0.91149
21  0.58076  0.60486  0.68981  0.50411  0.89155  0.83800  0.96405  0.90311  0.96416  0.90868
22  0.58177  0.60252  0.71153  0.55717  0.90805  0.86200  0.96544  0.91541  0.96511  0.92134
23  0.58653  0.60625  0.62920  0.49085  0.86907  0.83000  0.94815  0.90146  0.94777  0.90389
24  0.58066  0.60743  0.73411  0.53822  0.90805  0.83600  0.97152  0.91441  0.97134  0.91818
25  0.57392  0.59967  0.72285  0.53142  0.90355  0.85000  0.96831  0.91269  0.96839  0.91699
26  0.56726  0.59792  0.76391  0.54910  0.92054  0.85400  0.97673  0.91909  0.97696  0.92357
27  0.57192  0.60362  0.73350  0.51145  0.90805  0.84600  0.97011  0.91989  0.97041  0.92084
28  0.58020  0.60445  0.73820  0.56542  0.90955  0.85800  0.97249  0.92478  0.97277  0.92287
29  0.57887  0.61088  0.73498  0.49785  0.91304  0.81400  0.97185  0.90800  0.97232  0.91254
30  0.56586  0.59453  0.76700  0.55826  0.92604  0.86000  0.97456  0.92257  0.97654  0.92671
31  0.56144  0.59210  0.74575  0.51913  0.91404  0.84000  0.97761  0.92493  0.97783  0.92696
32  0.56794  0.60265  0.73478  0.48428  0.90605  0.83200  0.97232  0.90940  0.97179  0.91696
33  0.56750  0.59836  0.79400  0.57648  0.93353  0.86000  0.98258  0.92672  0.98273  0.93127
34  0.55765  0.59391  0.80597  0.55302  0.93303  0.85600  0.98487  0.92201  0.98501  0.92555
35  0.56387  0.59675  0.80369  0.56733  0.93253  0.85400  0.98446  0.92632  0.98456  0.92714
